Date,LINK-USD_ADJCLOSE,LINK-USD_CLOSE,LINK-USD_HIGH,LINK-USD_LOW,LINK-USD_OPEN,LINK-USD_VOLUME
2017-04-26,,,,,,
2017-04-27,,,,,,
2017-04-28,,,,,,
2017-04-29,,,,,,
2017-04-30,,,,,,
2017-05-01,,,,,,
2017-05-02,,,,,,
2017-05-03,,,,,,
2017-05-04,,,,,,
2017-05-05,,,,,,
2017-05-06,,,,,,
2017-05-07,,,,,,
2017-05-08,,,,,,
2017-05-09,,,,,,
2017-05-10,,,,,,
2017-05-11,,,,,,
2017-05-12,,,,,,
2017-05-13,,,,,,
2017-05-14,,,,,,
2017-05-15,,,,,,
2017-05-16,,,,,,
2017-05-17,,,,,,
2017-05-18,,,,,,
2017-05-19,,,,,,
2017-05-20,,,,,,
2017-05-21,,,,,,
2017-05-22,,,,,,
2017-05-23,,,,,,
2017-05-24,,,,,,
2017-05-25,,,,,,
2017-05-26,,,,,,
2017-05-27,,,,,,
2017-05-28,,,,,,
2017-05-29,,,,,,
2017-05-30,,,,,,
2017-05-31,,,,,,
2017-06-01,,,,,,
2017-06-02,,,,,,
2017-06-03,,,,,,
2017-06-04,,,,,,
2017-06-05,,,,,,
2017-06-06,,,,,,
2017-06-07,,,,,,
2017-06-08,,,,,,
2017-06-09,,,,,,
2017-06-10,,,,,,
2017-06-11,,,,,,
2017-06-12,,,,,,
2017-06-13,,,,,,
2017-06-14,,,,,,
2017-06-15,,,,,,
2017-06-16,,,,,,
2017-06-17,,,,,,
2017-06-18,,,,,,
2017-06-19,,,,,,
2017-06-20,,,,,,
2017-06-21,,,,,,
2017-06-22,,,,,,
2017-06-23,,,,,,
2017-06-24,,,,,,
2017-06-25,,,,,,
2017-06-26,,,,,,
2017-06-27,,,,,,
2017-06-28,,,,,,
2017-06-29,,,,,,
2017-06-30,,,,,,
2017-07-01,,,,,,
2017-07-02,,,,,,
2017-07-03,,,,,,
2017-07-04,,,,,,
2017-07-05,,,,,,
2017-07-06,,,,,,
2017-07-07,,,,,,
2017-07-08,,,,,,
2017-07-09,,,,,,
2017-07-10,,,,,,
2017-07-11,,,,,,
2017-07-12,,,,,,
2017-07-13,,,,,,
2017-07-14,,,,,,
2017-07-15,,,,,,
2017-07-16,,,,,,
2017-07-17,,,,,,
2017-07-18,,,,,,
2017-07-19,,,,,,
2017-07-20,,,,,,
2017-07-21,,,,,,
2017-07-22,,,,,,
2017-07-23,,,,,,
2017-07-24,,,,,,
2017-07-25,,,,,,
2017-07-26,,,,,,
2017-07-27,,,,,,
2017-07-28,,,,,,
2017-07-29,,,,,,
2017-07-30,,,,,,
2017-07-31,,,,,,
2017-08-01,,,,,,
2017-08-02,,,,,,
2017-08-03,,,,,,
2017-08-04,,,,,,
2017-08-05,,,,,,
2017-08-06,,,,,,
2017-08-07,,,,,,
2017-08-08,,,,,,
2017-08-09,,,,,,
2017-08-10,,,,,,
2017-08-11,,,,,,
2017-08-12,,,,,,
2017-08-13,,,,,,
2017-08-14,,,,,,
2017-08-15,,,,,,
2017-08-16,,,,,,
2017-08-17,,,,,,
2017-08-18,,,,,,
2017-08-19,,,,,,
2017-08-20,,,,,,
2017-08-21,,,,,,
2017-08-22,,,,,,
2017-08-23,,,,,,
2017-08-24,,,,,,
2017-08-25,,,,,,
2017-08-26,,,,,,
2017-08-27,,,,,,
2017-08-28,,,,,,
2017-08-29,,,,,,
2017-08-30,,,,,,
2017-08-31,,,,,,
2017-09-01,,,,,,
2017-09-02,,,,,,
2017-09-03,,,,,,
2017-09-04,,,,,,
2017-09-05,,,,,,
2017-09-06,,,,,,
2017-09-07,,,,,,
2017-09-08,,,,,,
2017-09-09,,,,,,
2017-09-10,,,,,,
2017-09-11,,,,,,
2017-09-12,,,,,,
2017-09-13,,,,,,
2017-09-14,,,,,,
2017-09-15,,,,,,
2017-09-16,,,,,,
2017-09-17,,,,,,
2017-09-18,,,,,,
2017-09-19,,,,,,
2017-09-20,,,,,,
2017-09-21,,,,,,
2017-09-22,,,,,,
2017-09-23,,,,,,
2017-09-24,,,,,,
2017-09-25,,,,,,
2017-09-26,,,,,,
2017-09-27,,,,,,
2017-09-28,,,,,,
2017-09-29,,,,,,
2017-09-30,,,,,,
2017-10-01,,,,,,
2017-10-02,,,,,,
2017-10-03,,,,,,
2017-10-04,,,,,,
2017-10-05,,,,,,
2017-10-06,,,,,,
2017-10-07,,,,,,
2017-10-08,,,,,,
2017-10-09,,,,,,
2017-10-10,,,,,,
2017-10-11,,,,,,
2017-10-12,,,,,,
2017-10-13,,,,,,
2017-10-14,,,,,,
2017-10-15,,,,,,
2017-10-16,,,,,,
2017-10-17,,,,,,
2017-10-18,,,,,,
2017-10-19,,,,,,
2017-10-20,,,,,,
2017-10-21,,,,,,
2017-10-22,,,,,,
2017-10-23,,,,,,
2017-10-24,,,,,,
2017-10-25,,,,,,
2017-10-26,,,,,,
2017-10-27,,,,,,
2017-10-28,,,,,,
2017-10-29,,,,,,
2017-10-30,,,,,,
2017-10-31,,,,,,
2017-11-01,,,,,,
2017-11-02,,,,,,
2017-11-03,,,,,,
2017-11-04,,,,,,
2017-11-05,,,,,,
2017-11-06,,,,,,
2017-11-07,,,,,,
2017-11-08,,,,,,
2017-11-09,0.2239689975976944,0.2239689975976944,0.2482330054044723,0.1954109966754913,0.2167129963636398,3347920.0
2017-11-10,0.1876019984483719,0.1876019984483719,0.2312799990177154,0.1801609992980957,0.2247000038623809,2125460.0
2017-11-11,0.1797699928283691,0.1797699928283691,0.1976870000362396,0.1660259962081909,0.1863979995250702,2238980.0
2017-11-12,0.1708980053663253,0.1708980053663253,0.1983759999275207,0.1459479928016662,0.1796669960021972,5455200.0
2017-11-13,0.1830710023641586,0.1830710023641586,0.2050140053033828,0.1687429994344711,0.1691170036792755,2992650.0
2017-11-14,0.1881140023469925,0.1881140023469925,0.1999679952859878,0.1703999936580658,0.1848150044679641,2203410.0
2017-11-15,0.1861380040645599,0.1861380040645599,0.1935130059719085,0.1760299950838089,0.1876129955053329,1689780.0
2017-11-16,0.1697610020637512,0.1697610020637512,0.1884440034627914,0.1645310074090957,0.1874819993972778,1766160.0
2017-11-17,0.1596489995718002,0.1596489995718002,0.1715350002050399,0.1524769961833953,0.1694550067186355,2547360.0
2017-11-18,0.1708720028400421,0.1708720028400421,0.1779119968414306,0.1507019996643066,0.1550090014934539,1948470.0
2017-11-19,0.1623540073633194,0.1623540073633194,0.1738120019435882,0.1574160009622573,0.1707980036735534,1646620.0
2017-11-20,0.1621830016374588,0.1621830016374588,0.1662829965353012,0.1566720008850097,0.1623660027980804,1916880.0
2017-11-21,0.1549720019102096,0.1549720019102096,0.1680050045251846,0.1537960022687912,0.1634760051965713,1952710.0
2017-11-22,0.168514996767044,0.168514996767044,0.1745689958333969,0.1503179967403412,0.1569799929857254,2709660.0
2017-11-23,0.1643839925527572,0.1643839925527572,0.1903380006551742,0.1570850014686584,0.1696549952030182,3325760.0
2017-11-24,0.1929209977388382,0.1929209977388382,0.1933789998292923,0.1559270024299621,0.1653169989585876,3763260.0
2017-11-25,0.1809590011835098,0.1809590011835098,0.193241998553276,0.1745939999818802,0.1928109973669052,2292830.0
2017-11-26,0.182888001203537,0.182888001203537,0.1859229952096939,0.1700170040130615,0.1834920048713684,1860700.0
2017-11-27,0.1841679960489273,0.1841679960489273,0.1855420023202896,0.1719069927930832,0.182888001203537,4242550.0
2017-11-28,0.1764239966869354,0.1764239966869354,0.1921350061893463,0.175586000084877,0.1868209987878799,5251760.0
